Profile Name,Esn,Device Type,Acct First Playback Date,Acct Last Playback Date,Acct First Playback Date For User Generated Plays,Acct Last Playback Date For User Generated Plays,Profile First Playback Date,Profile Last Playback Date,Profile First Playback Date For User Generated Plays,Profile Last Playback Date For User Generated Plays,Deactivation Time
La que paga,DISECOJOEY-0001-38FAC7D39417047E,DishTV Dish Joey MVPD STB,,,,,,,,,
La que paga,HISETVK114051415E1YQPLL-3LFVH62O2EXGBTUGV5,Hisense HISENSE TV 6 Smart TV,,,,,,,,,
La que paga,DISECOJOEY-0001-41EE3AF88322577A,DishTV Dish Joey MVPD STB,,,,,,,,,
La que paga,NFANDROID1-PRV-P-L3-LGE==LGLS665-4445-7CA030DBF84CEE6E6ABB872396075D1A4F0B10A4371B1C7365F00EC5C94E13AD,Android DefaultWidevineL3Phone Android Phone,,,,,,,,,
La que paga,NFCDSF-01-CFXHEWPUN4939MMV3DJC3UTNJN7KNH,Safari MAC (Cadmium),,,,,,,,,
La que paga,NFANDROID1-LGE==LGLS665S-2A8BDBAE7B6F537B543E903DF64E861894BFC44B84F72FA851036D0B0D869FB3,Mobile,,,,,,,,,
La que paga,NFAPPL-02-IPHONE7=2-002D36AE34384E78D8C60A010059990D51D1A160BCAFE956D3D8EF938A40FDCD,Apple iPhone 6,,,,,,,,,
La que paga,NFANDROID1-MOTORMB886S-E17A9E6B3549F40B61AF6A552C65C980A28EC8B467085E6CA07B0BC9E7BB8A76,Mobile,,,,,,,,,
La que paga,NFAPPL-02-IPHONE6=1-C3F63F6674EF5B9F1C143932EEEBEB9B33377EA759BB47E02C98D929E79DC784,iPhone 5S GSM,,,,,,,,,
La que paga,NFCDCH-02-UL3WYMP8FYVV46FYEQC6814N20,Chrome PC (Cadmium),,,,,,,,,
La que paga,NFCDSF-01-CD1V5V93UQJD6888WMKU95M97WZ3QN,Safari MAC (Cadmium),,,,,,,,,
La que paga,NFCDCH-02-C73H6PAY5MG7X4TLJAD5XQX3QQNWZJ,Chrome PC (Cadmium),,,,,,,,,
La que paga,NFCDCH-02-ADXWHK9HNXX43UR8A87MTZE9JX5C0E,Chrome PC (Cadmium),,,,,,,,,
La que paga,NFCDCH-02-CD2MYH2JLVA5J35MK27F4TD6AVAQRN,Chrome PC (Cadmium),,,,,,,,,
La que paga,NFCDCH-02-CCAU5CDZ9P36VJW5YK1CTYV59DR8QL,Chrome PC (Cadmium),,,,,,,,,
La que paga,NFCDCH-02-CC7AE0WRQLE4FEQHDCFNFY8LUC5EFL,Chrome PC (Cadmium),,,,,,,,,
La que paga,NFCDCH-02-CC4UTKQ196UATRJ1ZJ88LTJTGA0VX7,Chrome PC (Cadmium),,,,,,,,,
La que paga,NFAPPL-02-IPHONE7=2-BE2ED82A4B976CAEC97ED3E6DCDA406B40B5B67DB7D6052161988AD11A02B872,Apple iPhone 6,,,,,,,,,
La que paga,NFCDCH-02-C9PDLCKG77RM1W9PA6TQMCG5FEPX8U,Chrome PC (Cadmium),,,,,,,,,
