Profile Name,Title Description,Device,Playback Start Utc Ts,Country,Playtraces
La que paga,Unknown: Cosmic Time Machine,Google Sabrina ATV Set Top Box,2023-07-29 00:45:05,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":5532,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":19730,""mediaOffsetMs"":14097},{""eventType"":""paused"",""sessionOffsetMs"":369630,""mediaOffsetMs"":363436},{""eventType"":""playing"",""sessionOffsetMs"":413964,""mediaOffsetMs"":363436},{""eventType"":""paused"",""sessionOffsetMs"":426568,""mediaOffsetMs"":376096},{""eventType"":""playing"",""sessionOffsetMs"":447563,""mediaOffsetMs"":376096},{""eventType"":""paused"",""sessionOffsetMs"":3787961,""mediaOffsetMs"":3716854},{""eventType"":""stopped"",""sessionOffsetMs"":3788278,""mediaOffsetMs"":3716977}]"
La que paga,Season 1 Cliffhanger Clip: How to Become a Cult Leader,Google Sabrina ATV Set Top Box,2023-07-29 00:44:56,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":1327,""mediaOffsetMs"":0}]"
La que paga,Trailer: Unknown: Cosmic Time Machine,Google Sabrina ATV Set Top Box,2023-07-29 00:44:56,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":2615,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":8997,""mediaOffsetMs"":5278},{""eventType"":""stopped"",""sessionOffsetMs"":10324,""mediaOffsetMs"":5941}]"
La que paga,Act 2 Conflict Clip: They Cloned Tyrone,Google Sabrina ATV Set Top Box,2023-07-29 00:44:52,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":1934,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":3921,""mediaOffsetMs"":1528},{""eventType"":""stopped"",""sessionOffsetMs"":5639,""mediaOffsetMs"":1528}]"
La que paga,Season 1 Character Intro Clip: How to Become a Cult Leader,Google Sabrina ATV Set Top Box,2023-07-29 00:44:49,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":2865,""mediaOffsetMs"":0}]"
La que paga,Moment of High Emotion Clip: Missing: The Lucie Blackman Case,Apple iPhone 13 Pro,2023-07-27 03:55:40,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":2586,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":10586,""mediaOffsetMs"":8000},{""eventType"":""stopped"",""sessionOffsetMs"":37224,""mediaOffsetMs"":27419}]"
La que paga,Informative Clip 3: The Deepest Breath,Apple iPhone 13 Pro,2023-07-27 03:53:32,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":49},{""eventType"":""playing"",""sessionOffsetMs"":2540,""mediaOffsetMs"":49},{""eventType"":""playing"",""sessionOffsetMs"":3492,""mediaOffsetMs"":1001},{""eventType"":""stopped"",""sessionOffsetMs"":15583,""mediaOffsetMs"":13001}]"
La que paga,Suits: Season 1_hook_primary_16x9,Microsoft Xbox One,2023-07-19 03:54:39,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":5415,""mediaOffsetMs"":0}]"
La que paga,Unknown: Cave of Bones,Apple iPhone 13 Pro,2023-07-17 21:20:24,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":33},{""eventType"":""playing"",""sessionOffsetMs"":563,""mediaOffsetMs"":33},{""eventType"":""paused"",""sessionOffsetMs"":1172994,""mediaOffsetMs"":1172001},{""eventType"":""stopped"",""sessionOffsetMs"":2462268,""mediaOffsetMs"":1172001}]"
La que paga,Sensory Clip: Unknown: Cave of Bones,Apple iPhone 13 Pro,2023-07-17 21:20:17,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":75},{""eventType"":""playing"",""sessionOffsetMs"":1972,""mediaOffsetMs"":75},{""eventType"":""stopped"",""sessionOffsetMs"":7320,""mediaOffsetMs"":5530}]"
