Esn,Localized Device Description,Device Description,Ip,Country,Region Code Display Name,Near Location,Ts
NFANDROID1-PRV-P-OPPO=CPH2205-19879-A041C54BF6BCC26044AD5B32C8A320EA3503607FDC51914FFB9A196B83C4FC66,OPPO_CPH2205,OPPO_CPH2205,2806:104e:14:a794:e0b5:1737:6e46:ac39,MX,Morelos,TEZOYUCA,2023-06-11 02:29:56
NFANDROID1-PRV-P-OPPO=CPH2205-19879-A041C54BF6BCC26044AD5B32C8A320EA3503607FDC51914FFB9A196B83C4FC66,OPPO_CPH2205,OPPO_CPH2205,2806:104e:14:1e8f:2122:5649:4022:db5c,MX,Morelos,JIUTEPEC,2022-10-19 21:27:48
NFANDROID1-PRV-P-OPPO=CPH2205-19879-A041C54BF6BCC26044AD5B32C8A320EA3503607FDC51914FFB9A196B83C4FC66,OPPO_CPH2205,OPPO_CPH2205,187.214.40.195,MX,Morelos,TEMIXCO,2022-10-19 02:35:51
NFANDROID1-PRV-P-OPPO=CPH2205-19879-A041C54BF6BCC26044AD5B32C8A320EA3503607FDC51914FFB9A196B83C4FC66,OPPO_CPH2205,OPPO_CPH2205,2806:104e:14:2bbe:d5c4:355c:bf43:25e9,MX,Morelos,JIUTEPEC,2022-10-26 22:06:32
NFANDROID1-PRV-P-OPPO=CPH2205-19879-A041C54BF6BCC26044AD5B32C8A320EA3503607FDC51914FFB9A196B83C4FC66,OPPO_CPH2205,OPPO_CPH2205,2806:104e:14:6e1d:e0b5:1737:6e46:ac39,MX,Morelos,ALPUYECA,2023-06-15 04:21:11
NFANDROID1-PRV-P-OPPO=CPH2205-19879-A041C54BF6BCC26044AD5B32C8A320EA3503607FDC51914FFB9A196B83C4FC66,OPPO_CPH2205,OPPO_CPH2205,2806:104e:14:966b:b0ce:64d9:ba21:d53b,MX,Morelos,ALPUYECA,2023-07-03 22:00:20
NFANDROID1-PRV-P-OPPO=CPH2205-19879-A041C54BF6BCC26044AD5B32C8A320EA3503607FDC51914FFB9A196B83C4FC66,OPPO_CPH2205,OPPO_CPH2205,2806:104e:14:e010:8c0b:b375:8a0b:aa1d,MX,Morelos,JIUTEPEC,2023-04-15 20:35:53
NFANDROID1-PRV-P-OPPO=CPH2205-19879-A041C54BF6BCC26044AD5B32C8A320EA3503607FDC51914FFB9A196B83C4FC66,OPPO_CPH2205,OPPO_CPH2205,187.214.41.243,MX,Morelos,ALPUYECA,2023-04-15 15:47:33
NFANDROID1-PRV-P-OPPO=CPH2205-19879-A041C54BF6BCC26044AD5B32C8A320EA3503607FDC51914FFB9A196B83C4FC66,OPPO_CPH2205,OPPO_CPH2205,187.214.44.196,MX,Morelos,OACALCO,2023-06-16 00:19:09
NFANDROID1-PRV-P-OPPO=CPH2205-19879-A041C54BF6BCC26044AD5B32C8A320EA3503607FDC51914FFB9A196B83C4FC66,OPPO_CPH2205,OPPO_CPH2205,187.214.42.169,MX,Morelos,JONACATEPEC,2023-06-18 16:00:15
NFANDROID1-PRV-P-OPPO=CPH2205-19879-A041C54BF6BCC26044AD5B32C8A320EA3503607FDC51914FFB9A196B83C4FC66,OPPO_CPH2205,OPPO_CPH2205,200.68.173.238,MX,Ciudad De Mexico,MEXICO CITY,2022-11-07 13:41:18
NFANDROID1-PRV-P-OPPO=CPH2205-19879-A041C54BF6BCC26044AD5B32C8A320EA3503607FDC51914FFB9A196B83C4FC66,OPPO_CPH2205,OPPO_CPH2205,2806:104e:14:2121:796c:ee26:d966:f1ce,MX,Morelos,TEMIXCO,2022-11-07 23:09:52
NFANDROID1-PRV-P-OPPO=CPH2205-19879-A041C54BF6BCC26044AD5B32C8A320EA3503607FDC51914FFB9A196B83C4FC66,OPPO_CPH2205,OPPO_CPH2205,2806:104e:14:e465:ce5:80f:4496:46c5,MX,Morelos,TEJALPA,2023-05-24 23:54:00
NFANDROID1-PRV-P-OPPO=CPH2205-19879-A041C54BF6BCC26044AD5B32C8A320EA3503607FDC51914FFB9A196B83C4FC66,OPPO_CPH2205,OPPO_CPH2205,2806:104e:14:5ac9:392a:6a4f:591d:af4e,MX,Morelos,CUAUTLA DE MORELOS,2023-02-17 22:23:07
NFANDROID1-PRV-P-OPPO=CPH2205-19879-A041C54BF6BCC26044AD5B32C8A320EA3503607FDC51914FFB9A196B83C4FC66,OPPO_CPH2205,OPPO_CPH2205,2806:104e:14:5fb0:b0ce:64d9:ba21:d53b,MX,Morelos,TEJALPA,2023-07-14 22:00:01
NFANDROID1-PRV-P-OPPO=CPH2205-19879-A041C54BF6BCC26044AD5B32C8A320EA3503607FDC51914FFB9A196B83C4FC66,OPPO_CPH2205,OPPO_CPH2205,2806:104e:14:1e8f:a492:6cd6:8d4a:8d8a,MX,Morelos,JIUTEPEC,2022-10-20 21:46:22
NFANDROID1-PRV-P-OPPO=CPH2205-19879-A041C54BF6BCC26044AD5B32C8A320EA3503607FDC51914FFB9A196B83C4FC66,OPPO_CPH2205,OPPO_CPH2205,2806:104e:14:2196:a840:8db3:1c10:6435,MX,Morelos,TEMIXCO,2022-11-05 11:56:58
NFANDROID1-PRV-P-OPPO=CPH2205-19879-A041C54BF6BCC26044AD5B32C8A320EA3503607FDC51914FFB9A196B83C4FC66,OPPO_CPH2205,OPPO_CPH2205,2806:104e:14:9c25:b0ce:64d9:ba21:d53b,MX,Morelos,ACHICHIPICO,2023-07-21 22:13:47
NFANDROID1-PRV-P-OPPO=CPH2205-19879-A041C54BF6BCC26044AD5B32C8A320EA3503607FDC51914FFB9A196B83C4FC66,OPPO_CPH2205,OPPO_CPH2205,187.214.43.10,MX,Morelos,LA CRUZ,2023-04-04 17:30:28
NFANDROID1-PRV-P-OPPO=CPH2205-19879-A041C54BF6BCC26044AD5B32C8A320EA3503607FDC51914FFB9A196B83C4FC66,OPPO_CPH2205,OPPO_CPH2205,2806:104e:14:2196:d490:1be3:9082:bb53,MX,Morelos,TEMIXCO,2022-11-02 23:42:33
